station_id,station_name,metric,hour,sample_time,value
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:30:00+08:00,
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
1,00H710,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:50:00+08:00,
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:30:00+08:00,
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
2,00H810,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:50:00+08:00,
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:30:00+08:00,
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,1.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:40:00+08:00,0.0
3,00Q070,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:50:00+08:00,
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:00:00+08:00,
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:10:00+08:00,
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
4,01A130,rainfall,2025-08-17T13:00:00+08:00,2025-08-17T13:20:00+08:00,0.0
