到站時間,站序,站名,站ID,lat,lon
,1,永春高中,1108000000,25.033446,121.5797804
,2,松山商職(松山),1107600100,25.036029,121.578609
,3,國業里,1107800360,25.03555,121.57704
,4,國稅局宿舍,1108500060,25.034442,121.575497
進站中,5,捷運象山站,1107300660,25.033006,121.570056
3分鐘,6,信義松仁路口(松仁),1105800400,25.03369,121.5684464
6分鐘,7,松壽路口,1105100460,25.035881,121.5666401
6分鐘,8,市政府(松壽),1105100360,25.035907,121.5646562
進站中,9,世貿中心(基隆路),1105100140,25.033772,121.5597982
進站中,10,信義光復路口,1105200260,25.0331,121.55813
3分鐘,11,信義通化街口,1067900460,25.033193,121.5546221
4分鐘,12,捷運信義安和站(信義),1068500360,25.033223,121.552849
5分鐘,13,信義敦化路口,1068500260,25.033377,121.549449
6分鐘,14,信義大安路口,1068400060,25.033383,121.5461666
7分鐘,15,捷運大安站(信義),1068400260,25.033404,121.5438266
8分鐘,16,師大附中,1065800360,25.033382,121.542275
9分鐘,17,信義建國路口,1065800160,25.033595,121.538468
11分鐘,18,捷運大安森林公園站,1065600460,25.03355,121.5359159
12分鐘,19,信義新生路口,1065600360,25.033627,121.5331327
進站中,20,信義永康街口,1065100260,25.033765,121.5301447
進站中,21,捷運東門站,1005700060,25.034232,121.526986
進站中,22,信義杭州路口,1004800860,25.035417,121.5246296
進站中,23,中正紀念堂,1004800960,25.03739,121.52056
8分鐘,24,捷運台大醫院站,1004801100,25.041927,121.5163535
10分鐘,25,博物館(襄陽),1004600360,25.043453,121.5154942
進站中,26,衡陽路口,1004500240,25.042568,121.513172
進站中,27,衡陽路,1004300160,25.0423,121.51088
4分鐘,28,捷運西門站,1084600340,25.041649,121.5078873
5分鐘,29,小南門,1085000340,25.038008,121.5068125
6分鐘,30,聯合醫院和平院區,1006500140,25.036493,121.5065075
8分鐘,31,大埔街,1086200040,25.032074,121.5044162
9分鐘,32,廈安里,1086100540,25.030562,121.5040856
10分鐘,33,南機場公寓,1088000040,25.028384,121.5054653
11分鐘,34,中華南海路口,1088100040,25.027343,121.5064379
12分鐘,35,國興路口,1088100240,25.025621,121.508316
進站中,36,古亭國中,1088200020,25.024664,121.509833
進站中,37,萬華醫院,1007200140,25.02391,121.50982
進站中,38,青年公園(交通教學區),1088200160,25.02149,121.50643
3分鐘,39,青年公園(馬場町),1088200200,25.02023,121.5039
4分鐘,40,青年社宅,1087600300,25.021587,121.502643
5分鐘,41,青年路,1087500000,25.023084,121.5027448
5分鐘,42,中正新城,1087600000,25.024797,121.5032962
6分鐘,43,青年社區,1087600200,25.025478,121.504647
7分鐘,44,青年公園(青年),1087600100,25.025964,121.5062868
8分鐘,45,青年公園(國興),1088200340,25.0253,121.50712
