站點名稱,連結,到站時間
三重國民運動中心,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36096,將到站
集美國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36097,3分
菜寮(重新路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36098,4分
捷運菜寮站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36099,5分
中山藝術公園,https://pda5284.gov.taipei/MQS/stop.jsp?sid=56960,6分
大同路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36100,8分
正義重新路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36101,11分
長元西街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36102,12分
長壽西街口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36103,13分
三安里,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36104,13分
龍門路口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36105,173-U7進站中
德林寺(三和路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36106,將到站
厚德派出所,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36108,679-U5進站中
格致中學(三和路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36109,將到站
三和國中,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36110,3分
捷運三和國中站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=129829,3分
建和新村,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36111,4分
幸福市場,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36112,5分
捷運徐匯中學站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36113,8分
民和公寓,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36114,10分
溪墘,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36115,11分
蘆洲派出所,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36116,13分
蘆洲監理站(中正路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36117,15分648-U5
蘆洲國小,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36118,將到站
中原公寓,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36119,3分175-U7
空中大學(中正路),https://pda5284.gov.taipei/MQS/stop.jsp?sid=36120,將到站
王爺廟口,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36121,將到站
蘆洲總站,https://pda5284.gov.taipei/MQS/stop.jsp?sid=36122,將到站
