route_id,route_name,direction,stops
0471001700,,go,新九號停車場 > 虛擬站不停靠 > 九份老街 > 金瓜石(黃金博物館) > 水湳洞停車場
0471001700,,come,水湳洞停車場 > 金瓜石(黃金博物館) > 九份老街 > 虛擬站不停靠 > 新九號停車場
